,ward code,Obesity Prevalence
544,E05000570,0.63444054
545,E05000571,0.5535665
546,E05000572,0.21859941
547,E05000573,0.85315967
548,E05000574,0.39176488
549,E05000575,0.71813345
550,E05000576,0.5884844
551,E05000577,0.90772855
552,E05000578,0.39486268
553,E05000579,0.90847206
554,E05000580,0.7469813
555,E05000581,0.39745894
556,E05000582,0.75178474
557,E05000583,0.0
558,E05000584,0.27151182
559,E05000585,0.11962637
560,E05000586,0.29268485
561,E05000587,0.5504379
562,E05000588,0.77578586
563,E05000589,0.49170223
564,E05000590,0.39529568
565,E05000591,0.39583048
566,E05000592,0.25841045
567,E05000593,0.7917373
568,E05000594,0.34976694
569,E05000595,0.49793524
570,E05000596,0.45860365
571,E05000597,0.699718
572,E05000598,0.551261
573,E05000599,0.37860492
574,E05000600,0.13549477
575,E05000601,0.6398783
576,E05000602,0.0
577,E05000603,0.10495368
578,E05000604,0.32186046
579,E05000605,0.58612394
580,E05000606,0.38325596
581,E05000607,0.5410145
582,E05000608,0.5661968
583,E05000609,0.6572247
584,E05000610,0.24517357
585,E05000611,0.14465116
586,E05000612,0.30818647
587,E05000613,0.5982779
588,E05000614,0.28610206
589,E05000615,0.31581396
590,E05000616,0.29988444
591,E05000617,0.3325225
592,E05000618,0.22669888
593,E05000619,0.74316597
594,E05000620,0.49618635
595,E05000621,0.3170513
596,E05000622,0.34929204
597,E05000623,0.24549755
598,E05000624,0.19209303
599,E05000625,0.41186592
600,E05000626,0.24603507
601,E05000627,0.31047636
602,E05000628,0.5096053
603,E05000629,0.33618435
604,E05000630,0.49092466
605,E05000631,0.20652762
606,E05000632,0.29609203
607,E05000633,0.27953488
608,E05000634,0.4289815
609,E05000635,0.361207
610,E05000636,0.42959732
611,E05000637,0.23002967
612,E05000638,0.49365342
613,E05000639,0.45488343
614,E05000640,0.6141051
615,E05000641,0.47854435
616,E05000642,0.36392957
617,E05000643,0.1683721
618,E05000644,0.4941542
619,E05000645,0.6729372
620,E05000646,0.71173763
621,E05000647,0.2095992
622,E05000648,0.8416856
623,E05000649,0.71793336
